,Content,label
334,Все отлично,0
335,Самое крутое,0
336,Очень удобное приложение. Плюс усилили защиту. Это радует,0
337,Мне все нравиться.,0
338,Очень удобно! В любой момент можно воспользоваться услугами Сбербанка.,0
339,Приятно порадовала функция считывания штрих-кода!!!,0
340,Не открывает после первого ввода пароля приложение. Снова показывает страницу ввода пароля. Исправьте.,0
341,Очен хороши предложения ☺,0
342,После обновления приложения появились контакты из списка контактов и сразу же перестали работать шаблоны ранее сохраненные - выбрасывает из приложения при входе в шаблоны,0
343,Супер!!!,0
344,Хорошее приложение.,0
345,Lexx,0
346,"Удобно,при условии на телефоне оригинальной программы",0
347,Классная,0
348,"Ааауууу!! Разработчики!! Почему после обновления, он требует заново вносить данные, но при этом пишет, что отправляет код на смс телефона, а это СМС НЕ приходит!!! У многих так!! И не первый год!! Исправьте это!!! Вы доводить человека до истерики, когда он вынужден многократно посылать запрос на код!!!",0
349,"Приложение вылетает , войти не могу приходится заходить через интернет",0
350,"На слабых смартфонах работает не сильно хорошо а так нормальное приложение, довольно таки интуитивный интерфейс",0
351,"ПРИЛОЖЕНИЕ как приложение для ,удобно ,так и должно быть .",0
352,"Здравствуйте. Хотел бы сказать спасибо за такое приложение. У меня телефон не дорогой за 11т.р., и все работает стабильно, без лагов и каких либо других замечаний. 5из5 ☺👍",0
353,Удобно,0
354,Очень удобная программа.,0
355,ужасное приложение хочет заставить меня сменить сеть. заходил с мегафона,0
356,Шик блеск),0
357,Всё супер,0
358,Всё хорошо,0
359,Хорошее приложение. Работает четко и быстро. Спасибо.И через год работает всё также. Спасибо.,0
360,Класс,0
361,Почему в приложение можно зайти с 100 раза? Что случилось? Зачем приложение которое не работает? Все равно приходится использовать компьютер.,0
362,Вроде неплохо.,0
363,Отличное приложение!!!,0
364,Кул,0
365,"Установлено приложение на телефон жены, Asus max 3 т.к. у меня стоят root-права. Телефон чистый, без вмешательства. Андройд 7 стоит. Вчера пытался войти в приложение, писал что, сервер не отвечает. Это происходило на протяжении всего дня. Что за бредовая программа? Постоянные ""улучшения"" приводят только к сбоям работы телефона и интернета!!! Разрабы, приложения должны улучшаться, а не быть мусором в телефоне, как в вашем случае. Из за этого я не смог оплатить вчера покупку онлайн, и потерял скидку!!!! Да и ещё, не могу получить смс подтверждение от сайта банка, при входе онлайн. Это вообще бредятина!!!",0
366,"Подключил недавно,пока все отлично!",0
367,"Особых проблем не возникало, за исключением нескольких случаев невозможности подключения к серверу.Приложение хорошо работает.",0
368,Вполне сносно,0
369,хорошее приложение,0
370,"Раньше приложение работало, а теперь даже не запускается.... Антивирус чего-то там нер закончил и судя по всему уже не закончит никогда. Соединение создать не может. Добавляю: Установил по необходимости снова, с третьего раза запустилась проверка на вирусы. После проверки всё заработало. Будем посмотреть... Добавляю: Поменял смартфон - полёт нормальный, пока нареканий нет.",0
371,Mm,0
372,"Приложение загружается слишком долго. Так же, не хватает виджета, отображающего текущий баланс карты.",0
373,Отличный программы,0
374,Доволен этим приложением ставлю лайк,0
375,"Очень удобный интерфейс, проблем пока не встретила",0
376,Все хорошо,0
377,"4 звёзды только из-за вкладки ""кредиты"" имхо она бесполезна.",0
378,Чёткое приложение!,0
379,Очень удобно и быстро,0
380,Харошие приложение очень удобное,0
381,"Хорошее приложение, иногда висит...",0
382,Очень удобное предложение,0
383,Очень удобно спасибо,0
384,"Все удобно, часто пользуюсь приложением",0
385,Не могу пополнить баланс телефона,0
386,Все супер пока!,0
387,Хорошая приложение с ним можно ложить деньги,0
388,Отличное приложение,0
389,"Желают доброго дня, ночи, вечера, утра. Хоть кто то",0
390,Класс но чюток логает,0
391,"Написал что соединение небезопасно, и теперь из всех функций только перевод между счетами и оплата мобильного... Что можно сделать? Как вернуть обратно все? Не могу посмотреть полную выписку счёта.....",0
392,Мне нравится!,0
393,Хорошо,0
394,Класс все нравиться,0
395,Супер мне нравиться очень и быстро,0
396,Молодцы,0
397,"Только начал пользоваться мобильным банком и вполне удобное приложение, конечно почитав негативные коменты о проблемах, связанных с М.Б. понимаю, что ничего идеального нет, но и так сойдет!)) пока, что так сойдет для начала, вот!",0
398,После обновления вирус проверить не может .и как следствие приложение не работает,0
399,Спасибо!,0
400,Все гуд,0
401,"Очень удобное приложение! Рекомендую! Работает стабильно без зависаний, сменив не один телефон работает как часы. Учень выручает, т.к банкоматы зачастую не доступны.",0
402,Привет всем приложение очень удобное и быстро всё оплатить и ни куда не надо ходить,0
403,Супер,0
404,Хорошая приложуха,0
405,Замечательное приложение. Сильно облегчило жизнь.,0
406,не очень,0
407,Отлично работает),0
408,All right!!,0
409,"Приложение так, пойдёт... Есть вопрос: в чем смысл ограничения (фактически запрета!) на root-устройства, если они все равно могут делать все то же самое с браузера, только с кучей неудобств?! P.S. Хожу со стоком, не люблю прошивки, просто не понимаю эти загоны недобанка. Как и тот дебилизм, что в приложении нельзя посмотреть номер своей карты (это, типа, небезопасно?), хотя можно отправлять с неё средства, можно отправить данные по ней: корр. счёт, БИК и т.п. Но вот номер карты - нельзя! Надо идти за картой, если необходим ее номер. А сам банк - это вообще вонючая шарага! И нет альтернативы, потому что у других банкоматов по одному на район в лучшем случае.",0
410,Приложение удобное! Большое спасибо!,0
411,Очень удобно!,0
412,"Норм Но чего то не хватает,и хватит мне навязывать услуги.",0
413,незаменимое приложение,0
414,"Дорогие разработчики ,у меня возникла проблема с установкой сбербанка онлайн,при самой установке мне выбрасывают код ошибки 24 почему так,исправьте пожалуйста, спасибо.",0
415,"Очень приятно, мне очень нравится!!!",0
416,"проблемы со входом в приложение. И хватит превращать приложение в циклопа, уже весит больше 100 мегабайт. До сих пор не ведется баланс по картам и счетам, нужно рыться в СМС. Странички открываются медленно, иногда по минуте ждешь. Вы ребята обнаглели в конец. Samsung galaxy s8",0
417,Очень удобное преложения,0
418,Очень удобный интерфейс и легко переводить деньги на счёт другим абонентам,0
419,"Пользуюсь 3 года,sony z3,никаких проблем за всё время не было,даже с антивирусом который включили в приложение.Единственное бывает что приходится вводить пин код дважды,но это думаю из-за связи.Сейчас установил на sony sola 2012года с андроид 4.0.4 ,всё прекрасно работает.",0
420,"Приложение очень удобное,не зависает. Но иногда, после ввода кода, он открывает все как надо и через пару секунд заставляет вводить его заново",0
421,Очень удрбно,0
422,"Всё нравится, очень удобно",0
423,Не приходит смс с кодом,0
424,"После обновления не возможно скачать и установить приложение на Asus, выдаёт ошибку, код 24. В чем проблема?",0
425,Все норм,0
426,очень доступно и качественно,0
427,Отлично все,0
428,Привет. Пока не могу разобраться,0
429,Всё очень хорошо Мне так понравилось,0
430,"Мне нравиться, очень удобно",0
431,Пользовалась около года без проблем. После обновления перестало запускаться. Идет загрузка и... ничего. Снесла. Пытаюсь установить- выдает ошибку 963. Помогите,0
432,Много памяти,0
433,Отлично,0
434,Не могу установить,0
435,Оч удобно,0
436,Спасибо что вы есть,0
437,Удобно,0
438,"Удобно,легко!",0
439,"Хорошо работает,мне нравится.",0
440,Лучшее- это СбербанкОнлайн,0
441,Класс не слов,0
442,"Невозможно посмотреть ответ банка в приложении. Это создает большие неудобства. Не видны вклады, ""открытые"" в другом округе, я считаю, что меня, как пользователя, не должно волновать внутреннее устройство банка.",0
443,"Все очень круто,удобно и практично!Твёрдая 5!",0
444,"Пользуюсь 2 года, проблем никаких, очень удобное приложение, работает и в др. странах",0
445,👍😁,0
446,Пока что все нравиться неплохое приложение,0
447,"Достаточно удобное, есть некоторые нюансы но это мелочи",0
448,"Удобное приложение, но пока пользуюсь мало",0
449,Пока доволен всем. Очень удобно.,0
450,"Отличное приложение, всё удобно и понятно, приятный интерфейс. Иногда приходится пользоваться приложением от ВТБ просто отвратительно во всём. Спасибо! Спустя год: не могу делать переводы вне шаблонов после обновления. Даже не знаю зачем пишу, всё равно никто не читает и оперативно не решает проблемы. Самсунг мини 4.",0
